Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Analog Channels,,
,,,-3.33E-07,-0.00258095399476588,
,,,-3.32E-07,-0.0019114981405437,
,,,-3.31E-07,-0.0019114981405437,
,,,-3.3E-07,-0.00224622606765479,
,,,-3.29E-07,-0.0019114981405437,
,,,-3.28E-07,-0.0019114981405437,
,,,-3.27E-07,-0.0019114981405437,
,,,-3.26E-07,-0.00157677021343261,
,,,-3.25E-07,-0.0019114981405437,
,,,-3.24E-07,-0.00224622606765479,
,,,-3.23E-07,-0.0019114981405437,
,,,-3.22E-07,-0.0019114981405437,
,,,-3.21E-07,-0.00157677021343261,
,,,-3.2E-07,-0.0019114981405437,
,,,-3.19E-07,-0.0019114981405437,
,,,-3.18E-07,-0.00224622606765479,
,,,-3.17E-07,-0.0019114981405437,
,,,-3.16E-07,-0.0019114981405437,
,,,-3.15E-07,-0.00224622606765479,
,,,-3.14E-07,-0.00224622606765479,
,,,-3.13E-07,-0.0019114981405437,
,,,-3.12E-07,-0.00224622606765479,
,,,-3.11E-07,-0.0019114981405437,
,,,-3.1E-07,-0.00224622606765479,
,,,-3.09E-07,-0.0019114981405437,
,,,-3.08E-07,-0.0019114981405437,
,,,-3.07E-07,-0.00157677021343261,
,,,-3.06E-07,-0.00224622606765479,
,,,-3.05E-07,-0.0019114981405437,
,,,-3.04E-07,-0.00224622606765479,
,,,-3.03E-07,-0.0019114981405437,
,,,-3.02E-07,-0.0019114981405437,
,,,-3.01E-07,-0.00157677021343261,
,,,-3E-07,-0.00224622606765479,
,,,-2.99E-07,-0.0019114981405437,
,,,-2.98E-07,-0.0019114981405437,
,,,-2.97E-07,-0.0019114981405437,
,,,-2.96E-07,-0.0019114981405437,
,,,-2.95E-07,-0.00157677021343261,
,,,-2.94E-07,-0.00124204228632152,
,,,-2.93E-07,-0.00157677021343261,
,,,-2.92E-07,-0.00157677021343261,
,,,-2.91E-07,-0.0019114981405437,
,,,-2.9E-07,-0.00124204228632152,
,,,-2.89E-07,-0.00124204228632152,
,,,-2.88E-07,-0.00157677021343261,
,,,-2.87E-07,-0.00157677021343261,
,,,-2.86E-07,-0.00157677021343261,
,,,-2.85E-07,-0.00124204228632152,
,,,-2.84E-07,-0.0019114981405437,
,,,-2.83E-07,-0.0019114981405437,
,,,-2.82E-07,-0.00124204228632152,
,,,-2.81E-07,-0.00124204228632152,
,,,-2.8E-07,-0.00157677021343261,
,,,-2.79E-07,-0.00157677021343261,
,,,-2.78E-07,-0.00157677021343261,
,,,-2.77E-07,-0.00157677021343261,
,,,-2.76E-07,-0.00157677021343261,
,,,-2.75E-07,-0.00124204228632152,
,,,-2.74E-07,-0.00157677021343261,
,,,-2.73E-07,-0.0019114981405437,
,,,-2.72E-07,-0.000907314359210432,
,,,-2.71E-07,-0.00124204228632152,
,,,-2.7E-07,-0.00124204228632152,
,,,-2.69E-07,-0.00157677021343261,
,,,-2.68E-07,-0.00124204228632152,
,,,-2.67E-07,-0.000907314359210432,
,,,-2.66E-07,-0.00124204228632152,
,,,-2.65E-07,-0.00124204228632152,
,,,-2.64E-07,-0.00124204228632152,
,,,-2.63E-07,-0.000907314359210432,
,,,-2.62E-07,-0.000907314359210432,
,,,-2.61E-07,-0.00124204228632152,
,,,-2.6E-07,-0.00157677021343261,
,,,-2.59E-07,-0.000907314359210432,
,,,-2.58E-07,-0.00124204228632152,
,,,-2.57E-07,-0.000572586432099342,
,,,-2.56E-07,-0.000907314359210432,
,,,-2.55E-07,-0.000907314359210432,
,,,-2.54E-07,-0.000572586432099342,
,,,-2.53E-07,-0.000572586432099342,
,,,-2.52E-07,-0.000572586432099342,
,,,-2.51E-07,-0.000572586432099342,
,,,-2.5E-07,-0.000572586432099342,
,,,-2.49E-07,-0.000572586432099342,
,,,-2.48E-07,-0.000907314359210432,
,,,-2.47E-07,-0.000572586432099342,
,,,-2.46E-07,-0.000572586432099342,
,,,-2.45E-07,-0.000907314359210432,
,,,-2.44E-07,-0.000572586432099342,
,,,-2.43E-07,-0.000572586432099342,
,,,-2.42E-07,-0.000572586432099342,
,,,-2.41E-07,-0.000572586432099342,
,,,-2.4E-07,-0.000237858504988253,
,,,-2.39E-07,-0.000572586432099342,
,,,-2.38E-07,-0.000907314359210432,
,,,-2.37E-07,-0.000237858504988253,
,,,-2.36E-07,-0.000237858504988253,
,,,-2.35E-07,9.68694221228361E-05,
,,,-2.34E-07,-0.000237858504988253,
,,,-2.33E-07,-0.000237858504988253,
,,,-2.32E-07,-0.000237858504988253,
,,,-2.31E-07,9.68694221228361E-05,
,,,-2.3E-07,0.000766325276345015,
,,,-2.29E-07,9.68694221228361E-05,
,,,-2.28E-07,-0.000237858504988253,
,,,-2.27E-07,9.68694221228361E-05,
,,,-2.26E-07,-0.000572586432099342,
,,,-2.25E-07,9.68694221228361E-05,
,,,-2.24E-07,-0.000237858504988253,
,,,-2.23E-07,9.68694221228361E-05,
,,,-2.22E-07,0.000431597349233925,
,,,-2.21E-07,9.68694221228361E-05,
,,,-2.2E-07,9.68694221228361E-05,
,,,-2.19E-07,0.000431597349233925,
,,,-2.18E-07,9.68694221228361E-05,
,,,-2.17E-07,0.000766325276345015,
,,,-2.16E-07,9.68694221228361E-05,
,,,-2.15E-07,0.000431597349233925,
,,,-2.14E-07,9.68694221228361E-05,
,,,-2.13E-07,0.000431597349233925,
,,,-2.12E-07,0.000766325276345015,
,,,-2.11E-07,0.000766325276345015,
,,,-2.1E-07,9.68694221228361E-05,
,,,-2.09E-07,0.000431597349233925,
,,,-2.08E-07,0.0011010532034561,
,,,-2.07E-07,0.000431597349233925,
,,,-2.06E-07,0.000431597349233925,
,,,-2.05E-07,0.000431597349233925,
,,,-2.04E-07,0.000766325276345015,
,,,-2.03E-07,0.000766325276345015,
,,,-2.02E-07,0.0011010532034561,
,,,-2.01E-07,0.000766325276345015,
,,,-2E-07,0.000766325276345015,
,,,-1.99E-07,0.0011010532034561,
,,,-1.98E-07,0.00143578113056719,
,,,-1.97E-07,0.000766325276345015,
,,,-1.96E-07,0.000766325276345015,
,,,-1.95E-07,0.0011010532034561,
,,,-1.94E-07,0.0011010532034561,
,,,-1.93E-07,0.00143578113056719,
,,,-1.92E-07,0.000766325276345015,
,,,-1.91E-07,0.0011010532034561,
,,,-1.9E-07,0.0011010532034561,
,,,-1.89E-07,0.00177050905767828,
,,,-1.88E-07,0.00143578113056719,
,,,-1.87E-07,0.00177050905767828,
,,,-1.86E-07,0.00143578113056719,
,,,-1.85E-07,0.00177050905767828,
,,,-1.84E-07,0.00143578113056719,
,,,-1.83E-07,0.00143578113056719,
,,,-1.82E-07,0.00143578113056719,
,,,-1.81E-07,0.00143578113056719,
,,,-1.8E-07,0.0011010532034561,
,,,-1.79E-07,0.00143578113056719,
,,,-1.78E-07,0.00143578113056719,
,,,-1.77E-07,0.00143578113056719,
,,,-1.76E-07,0.00177050905767828,
,,,-1.75E-07,0.00143578113056719,
,,,-1.74E-07,0.00143578113056719,
,,,-1.73E-07,0.00177050905767828,
,,,-1.72E-07,0.00210523698478937,
,,,-1.71E-07,0.00177050905767828,
,,,-1.7E-07,0.00210523698478937,
,,,-1.69E-07,0.00210523698478937,
,,,-1.68E-07,0.00243996491190046,
,,,-1.67E-07,0.00177050905767828,
,,,-1.66E-07,0.00243996491190046,
,,,-1.65E-07,0.00177050905767828,
,,,-1.64E-07,0.00243996491190046,
,,,-1.63E-07,0.00177050905767828,
,,,-1.62E-07,0.00210523698478937,
,,,-1.61E-07,0.00277469283901155,
,,,-1.6E-07,0.00210523698478937,
,,,-1.59E-07,0.00243996491190046,
,,,-1.58E-07,0.00210523698478937,
,,,-1.57E-07,0.00243996491190046,
,,,-1.56E-07,0.00243996491190046,
,,,-1.55E-07,0.00243996491190046,
,,,-1.54E-07,0.00210523698478937,
,,,-1.53E-07,0.00243996491190046,
,,,-1.52E-07,0.00277469283901155,
,,,-1.51E-07,0.00277469283901155,
,,,-1.5E-07,0.00277469283901155,
,,,-1.49E-07,0.00277469283901155,
,,,-1.48E-07,0.00243996491190046,
,,,-1.47E-07,0.00243996491190046,
,,,-1.46E-07,0.00243996491190046,
,,,-1.45E-07,0.00210523698478937,
,,,-1.44E-07,0.00243996491190046,
,,,-1.43E-07,0.00277469283901155,
,,,-1.42E-07,0.00277469283901155,
,,,-1.41E-07,0.00243996491190046,
,,,-1.4E-07,0.00310942076612264,
,,,-1.39E-07,0.00310942076612264,
,,,-1.38E-07,0.00310942076612264,
,,,-1.37E-07,0.00277469283901155,
,,,-1.36E-07,0.00310942076612264,
,,,-1.35E-07,0.00310942076612264,
,,,-1.34E-07,0.00377887662034482,
,,,-1.33E-07,0.00310942076612264,
,,,-1.32E-07,0.00310942076612264,
,,,-1.31E-07,0.00344414869323373,
,,,-1.3E-07,0.00243996491190046,
,,,-1.29E-07,0.00344414869323373,
,,,-1.28E-07,0.00344414869323373,
,,,-1.27E-07,0.00411360454745591,
,,,-1.26E-07,0.00344414869323373,
,,,-1.25E-07,0.00344414869323373,
,,,-1.24E-07,0.00344414869323373,
,,,-1.23E-07,0.00377887662034482,
,,,-1.22E-07,0.00411360454745591,
,,,-1.21E-07,0.00377887662034482,
,,,-1.2E-07,0.00377887662034482,
,,,-1.19E-07,0.00377887662034482,
,,,-1.18E-07,0.00411360454745591,
,,,-1.17E-07,0.00411360454745591,
,,,-1.16E-07,0.00377887662034482,
,,,-1.15E-07,0.00411360454745591,
,,,-1.14E-07,0.00377887662034482,
,,,-1.13E-07,0.00344414869323373,
,,,-1.12E-07,0.004448332474567,
,,,-1.11E-07,0.004448332474567,
,,,-1.1E-07,0.00411360454745591,
,,,-1.09E-07,0.00411360454745591,
,,,-1.08E-07,0.00478306040167809,
,,,-1.07E-07,0.004448332474567,
,,,-1.06E-07,0.00411360454745591,
,,,-1.05E-07,0.00411360454745591,
,,,-1.04E-07,0.00377887662034482,
,,,-1.03E-07,0.004448332474567,
,,,-1.02E-07,0.004448332474567,
,,,-1.01E-07,0.00377887662034482,
,,,-9.99999999999999E-08,0.00411360454745591,
,,,-9.9E-08,0.004448332474567,
,,,-9.8E-08,0.004448332474567,
,,,-9.69999999999999E-08,0.00478306040167809,
,,,-9.6E-08,0.00478306040167809,
,,,-9.49999999999999E-08,0.00478306040167809,
,,,-9.4E-08,0.00478306040167809,
,,,-9.29999999999999E-08,0.00511778832878917,
,,,-9.2E-08,0.00478306040167809,
,,,-9.1E-08,0.004448332474567,
,,,-8.99999999999999E-08,0.00478306040167809,
,,,-8.9E-08,0.00511778832878917,
,,,-8.79999999999999E-08,0.00478306040167809,
,,,-8.7E-08,0.00511778832878917,
,,,-8.6E-08,0.00511778832878917,
,,,-8.49999999999999E-08,0.00478306040167809,
,,,-8.4E-08,0.00478306040167809,
,,,-8.29999999999999E-08,0.00478306040167809,
,,,-8.2E-08,0.00478306040167809,
,,,-8.09999999999999E-08,0.00478306040167809,
,,,-8E-08,0.00545251625590026,
,,,-7.9E-08,0.00511778832878917,
,,,-7.79999999999999E-08,0.00478306040167809,
,,,-7.7E-08,0.00478306040167809,
,,,-7.59999999999999E-08,0.00545251625590026,
,,,-7.5E-08,0.00511778832878917,
,,,-7.39999999999999E-08,0.00545251625590026,
,,,-7.29999999999999E-08,0.00511778832878917,
,,,-7.2E-08,0.00545251625590026,
,,,-7.09999999999999E-08,0.00545251625590026,
,,,-7E-08,0.00612197211012244,
,,,-6.89999999999999E-08,0.00545251625590026,
,,,-6.8E-08,0.00545251625590026,
,,,-6.7E-08,0.00578724418301135,
,,,-6.59999999999999E-08,0.00578724418301135,
,,,-6.5E-08,0.00578724418301135,
,,,-6.39999999999999E-08,0.00545251625590026,
,,,-6.3E-08,0.00612197211012244,
,,,-6.19999999999999E-08,0.00578724418301135,
,,,-6.09999999999999E-08,0.00578724418301135,
,,,-6E-08,0.00578724418301135,
,,,-5.89999999999999E-08,0.00545251625590026,
,,,-5.8E-08,0.00612197211012244,
,,,-5.69999999999999E-08,0.00578724418301135,
,,,-5.6E-08,0.00578724418301135,
,,,-5.5E-08,0.00612197211012244,
,,,-5.39999999999999E-08,0.00612197211012244,
,,,-5.3E-08,0.00612197211012244,
,,,-5.19999999999999E-08,0.00612197211012244,
,,,-5.1E-08,0.00612197211012244,
,,,-4.99999999999999E-08,0.00545251625590026,
,,,-4.9E-08,0.00612197211012244,
,,,-4.8E-08,0.00578724418301135,
,,,-4.69999999999999E-08,0.00578724418301135,
,,,-4.6E-08,0.00545251625590026,
,,,-4.49999999999999E-08,0.00545251625590026,
,,,-4.4E-08,0.00645670003723353,
,,,-4.29999999999999E-08,0.00578724418301135,
,,,-4.19999999999999E-08,0.00578724418301135,
,,,-4.1E-08,0.00545251625590026,
,,,-3.99999999999999E-08,0.00612197211012244,
,,,-3.9E-08,0.00612197211012244,
,,,-3.79999999999999E-08,0.00612197211012244,
,,,-3.7E-08,0.00578724418301135,
,,,-3.6E-08,0.00612197211012244,
,,,-3.49999999999999E-08,0.00612197211012244,
,,,-3.4E-08,0.00612197211012244,
,,,-3.29999999999999E-08,0.00679142796434462,
,,,-3.2E-08,0.00612197211012244,
,,,-3.09999999999999E-08,0.00612197211012244,
,,,-2.99999999999999E-08,0.00612197211012244,
,,,-2.9E-08,0.00645670003723353,
,,,-2.79999999999999E-08,0.00612197211012244,
,,,-2.7E-08,0.00645670003723353,
,,,-2.59999999999999E-08,0.00612197211012244,
,,,-2.5E-08,0.00612197211012244,
,,,-2.4E-08,0.00612197211012244,
,,,-2.29999999999999E-08,0.00645670003723353,
,,,-2.2E-08,0.00679142796434462,
,,,-2.1E-08,0.00645670003723353,
,,,-1.99999999999999E-08,0.00645670003723353,
,,,-1.89999999999999E-08,0.00679142796434462,
,,,-1.8E-08,0.00645670003723353,
,,,-1.69999999999999E-08,0.00645670003723353,
,,,-1.59999999999999E-08,0.00645670003723353,
,,,-1.5E-08,0.00679142796434462,
,,,-1.4E-08,0.00679142796434462,
,,,-1.29999999999999E-08,0.00679142796434462,
,,,-1.19999999999999E-08,0.0074608838185668,
,,,-1.1E-08,0.00712615589145571,
,,,-9.9999999999999E-09,0.00712615589145571,
,,,-8.99999999999994E-09,0.0074608838185668,
,,,-7.99999999999997E-09,0.00779561174567789,
,,,-7E-09,0.00779561174567789,
,,,-5.99999999999992E-09,0.00813033967278898,
,,,-4.99999999999995E-09,0.00779561174567789,
,,,-3.99999999999998E-09,0.00813033967278898,
,,,-2.99999999999991E-09,0.00846506759990007,
,,,-1.99999999999994E-09,0.00846506759990007,
,,,-9.99999999999969E-10,0.00946925138123333,
,,,1.05879118406788E-22,0.00879979552701116,
,,,1.00000000000008E-09,0.00946925138123333,
,,,2.00000000000004E-09,0.00980397930834442,
,,,3.00000000000001E-09,0.00980397930834442,
,,,4.00000000000009E-09,0.0101387072354555,
,,,5.00000000000006E-09,0.0101387072354555,
,,,6.00000000000003E-09,0.0104734351625666,
,,,7.0000000000001E-09,0.0111428910167888,
,,,8.00000000000007E-09,0.0108081630896777,
,,,9.00000000000004E-09,0.0111428910167888,
,,,1E-08,0.011812346871011,
,,,1.10000000000001E-08,0.0114776189438999,
,,,1.20000000000001E-08,0.011812346871011,
,,,1.3E-08,0.012147074798122,
,,,1.40000000000001E-08,0.012147074798122,
,,,1.50000000000001E-08,0.012147074798122,
,,,1.6E-08,0.0128165306523442,
,,,1.7E-08,0.0128165306523442,
,,,1.80000000000001E-08,0.0128165306523442,
,,,1.90000000000001E-08,0.0131512585794553,
,,,2E-08,0.0138207144336775,
,,,2.10000000000001E-08,0.0134859865065664,
,,,2.20000000000001E-08,0.0138207144336775,
,,,2.3E-08,0.0138207144336775,
,,,2.4E-08,0.0141554423607886,
,,,2.50000000000001E-08,0.0138207144336775,
,,,2.6E-08,0.0148248982150108,
,,,2.7E-08,0.0148248982150108,
,,,2.80000000000001E-08,0.0141554423607886,
,,,2.90000000000001E-08,0.0148248982150108,
,,,3E-08,0.0141554423607886,
,,,3.10000000000001E-08,0.0148248982150108,
,,,3.20000000000001E-08,0.0151596261421219,
,,,3.3E-08,0.0151596261421219,
,,,3.4E-08,0.0154943540692329,
,,,3.50000000000001E-08,0.0151596261421219,
,,,3.60000000000001E-08,0.015829081996344,
,,,3.7E-08,0.0154943540692329,
,,,3.80000000000001E-08,0.0154943540692329,
,,,3.90000000000001E-08,0.0161638099234551,
,,,4E-08,0.0151596261421219,
,,,4.1E-08,0.015829081996344,
,,,4.20000000000001E-08,0.0164985378505662,
,,,4.30000000000001E-08,0.0164985378505662,
,,,4.4E-08,0.0161638099234551,
,,,4.50000000000001E-08,0.0164985378505662,
,,,4.60000000000001E-08,0.0164985378505662,
,,,4.7E-08,0.0161638099234551,
,,,4.8E-08,0.0164985378505662,
,,,4.90000000000001E-08,0.0164985378505662,
,,,5.00000000000001E-08,0.0164985378505662,
,,,5.1E-08,0.0168332657776773,
,,,5.20000000000001E-08,0.0168332657776773,
,,,5.30000000000001E-08,0.0164985378505662,
,,,5.4E-08,0.0164985378505662,
,,,5.50000000000001E-08,0.0168332657776773,
,,,5.60000000000001E-08,0.0168332657776773,
,,,5.7E-08,0.0168332657776773,
,,,5.8E-08,0.0175027216318995,
,,,5.90000000000001E-08,0.0164985378505662,
,,,6.00000000000001E-08,0.0168332657776773,
,,,6.1E-08,0.0168332657776773,
,,,6.20000000000001E-08,0.0164985378505662,
,,,6.30000000000001E-08,0.0171679937047884,
,,,6.4E-08,0.0171679937047884,
,,,6.5E-08,0.0168332657776773,
,,,6.60000000000001E-08,0.0168332657776773,
,,,6.70000000000001E-08,0.0168332657776773,
,,,6.8E-08,0.0171679937047884,
,,,6.90000000000001E-08,0.0168332657776773,
,,,7.00000000000001E-08,0.0168332657776773,
,,,7.1E-08,0.0171679937047884,
,,,7.2E-08,0.0168332657776773,
,,,7.30000000000001E-08,0.0171679937047884,
,,,7.40000000000001E-08,0.0168332657776773,
,,,7.5E-08,0.0168332657776773,
,,,7.60000000000001E-08,0.0168332657776773,
,,,7.70000000000001E-08,0.0168332657776773,
,,,7.8E-08,0.0164985378505662,
,,,7.9E-08,0.0168332657776773,
,,,8.00000000000001E-08,0.0164985378505662,
,,,8.10000000000001E-08,0.0164985378505662,
,,,8.2E-08,0.0164985378505662,
,,,8.30000000000001E-08,0.0164985378505662,
,,,8.40000000000001E-08,0.0168332657776773,
,,,8.5E-08,0.0161638099234551,
,,,8.60000000000001E-08,0.0164985378505662,
,,,8.70000000000001E-08,0.0161638099234551,
,,,8.8E-08,0.0161638099234551,
,,,8.9E-08,0.0161638099234551,
,,,9.00000000000001E-08,0.0164985378505662,
,,,9.10000000000001E-08,0.0161638099234551,
,,,9.2E-08,0.0154943540692329,
,,,9.30000000000001E-08,0.0154943540692329,
,,,9.40000000000001E-08,0.015829081996344,
,,,9.5E-08,0.015829081996344,
,,,9.6E-08,0.0154943540692329,
,,,9.70000000000001E-08,0.015829081996344,
,,,9.80000000000001E-08,0.0154943540692329,
,,,9.9E-08,0.015829081996344,
,,,1E-07,0.0151596261421219,
